Pesel;Nazwisko;Imie;Plec;Wiek
p08233101802;Baranowska;Lena Anna;dziewczynka;4
p08300502415;Baranski;Michal;chlopiec;4
p08312010120;Bartoszcze;Diana;dziewczynka;4
p08292514056;Bartoszek;Patryk;chlopiec;4
p08242302588;Baryla;Patrycja;dziewczynka;4
p08300302848;Barzowska;Marika;dziewczynka;4
p08231101453;Bednarz;Adrian;chlopiec;4
p08322501384;Begdon;Kaja;dziewczynka;4
p08260300696;Begger;Wiktor;chlopiec;4
p08252500154;Behling;Jan;chlopiec;4
p08292901119;Belczak;Dawid;chlopiec;4
p08272001794;Bendek;Konrad;chlopiec;4
p08300611070;Berner;Bartosz;chlopiec;4
p08282001818;Berus;Kamil;chlopiec;4
p08322201734;Bialaszewski;Maciej;chlopiec;4
p08271004804;Bialkowska;Oliwia;dziewczynka;4
p08231710228;Bielanska;Amelia;dziewczynka;4
p08262304087;Bielawska;Paulina;dziewczynka;4
p08242902085;Bielinska;Julia;dziewczynka;4
p08260901989;Bieniasz;Kinga;dziewczynka;4
p08260906366;Bieniasz;Zuzanna;dziewczynka;4
p08291704218;Biernacki;Maciej;chlopiec;4
p08242501383;Blazejewska;Anna;dziewczynka;4
p08320100790;Bleszynski;Wiktor;chlopiec;4
p08261009495;Bocianowski;Maksymilian;chlopiec;4
p08300401998;Bogusz;Jakub;chlopiec;4
p08261002337;Bohonos;Szymon;chlopiec;4
p08251603261;Boladz;Weronika;dziewczynka;4
p08272603583;Boratynska;Agata;dziewczynka;4
p08262403885;Bratuszewska;Inga;dziewczynka;4
p08301012573;Braun;Denis;chlopiec;4
p08230101423;Brodziak;Anna;dziewczynka;4
p08320508802;Broukin;Zuzanna;dziewczynka;4
p08271004651;Brych;Jeremiasz;chlopiec;4
p08282003049;Brzoskowska;Zuzanna;dziewczynka;4
p08310501583;Buchowiecka;Zofia;dziewczynka;4
p08300601183;Buczkowska;Zofia;dziewczynka;4
p08292300215;Budkowski;Jan;chlopiec;4
p08280101329;Bugowska;Julia;dziewczynka;4
p08291508546;Bujnowska;Inga;dziewczynka;4
p08242404945;Bulakowska;Nina;dziewczynka;4
p08280101190;Burczyk;Jakub;chlopiec;4
p08272807246;Burek;Maja;dziewczynka;4
p08280901547;Burnicka;Ewelina;dziewczynka;4
p08310903835;Burzykowski;Maciej;chlopiec;4
p08322901085;Cejko;Wioletta;dziewczynka;4
p08310510189;Celinska;Wiktoria;dziewczynka;4
p08270207550;Cetnerowski;Piotr;chlopiec;4
p08311000333;Chmara;Michal;chlopiec;4
p08210604443;Chodorowska;Sonia;dziewczynka;4
p08230703090;Chomik;Jan;chlopiec;4
p08261201354;Chomyj;Aleksander;chlopiec;4
p08232803248;Chrzanowska;Laura;dziewczynka;4
p08231703310;Chybicki;Stanislaw;chlopiec;4
p08251412405;Chyla;Zofia;dziewczynka;4
p08271207849;Chyla;Zofia;dziewczynka;4
p08252601381;Cieszynska;Michalina;dziewczynka;4
p08232602083;Cieslinska;Julia;dziewczynka;4
p08230702198;Cimochowski;Bartosz;chlopiec;4
p08261111053;Curylo;Jakub;chlopiec;4
p08291108845;Cymer;Anna;dziewczynka;4
p08250600474;Czaja;Marcel;chlopiec;4
p08252812211;Czaja;Mateusz;chlopiec;4
p08210200755;Czajkowski;Milan;chlopiec;4
p08230110555;Czapiewski;Daniel;chlopiec;4
p08231200343;Czaplo;Patrycja;dziewczynka;4
p08322003350;Czarniecki;Wladyslaw;chlopiec;4
p08320602087;Czechowska;Lena;dziewczynka;4
p08261501782;Czubiel;Amelia;dziewczynka;4
p08302801475;Daniluk;Jan;chlopiec;4
p08272403848;Dargacz;Iga;dziewczynka;4
p08242213417;Dabek;Olaf;chlopiec;4
p08211000347;Dabkowska;Kornelia;dziewczynka;4
p08270903395;Dabrowski;Marcel;chlopiec;4
p08241101171;Dabrowski;Mateusz;chlopiec;4
p08300606775;Dabrowski;Patryk;chlopiec;4
p08280203137;Dechnik;Damian;chlopiec;4
p08212209875;Derek;Marcel;chlopiec;4
p08312405724;Dmochowska;Adrianna;dziewczynka;4
p08222201748;Dobrowolska;Alicja;dziewczynka;4
p08292401787;Dobrzanska;Hanna;dziewczynka;4
p08310501637;Dobrzeniecki;Tomasz;chlopiec;4
p08281403420;Dolega;Kinga;dziewczynka;4
p08270803725;Dominiak;Gabriela;dziewczynka;4
p08211600752;Drapella;Konrad;chlopiec;4
p08290400870;Drozd;Oskar;chlopiec;4
p08270600667;Dubiela;Martyna;dziewczynka;4
p08250707492;Dudek;Dominik;chlopiec;4
p08312604321;Dunislawska;Natalia;dziewczynka;4
p08292500080;Dykalska;Klaudia;dziewczynka;4
p08322906653;Dyrda;Mariusz;chlopiec;4
p08261702503;Dzedzej;Wiktoria;dziewczynka;4
p08311907692;Dziekonski;Alex;chlopiec;4
p08260613198;Dzierzak;Oskar;chlopiec;4
p08302000171;Dziewiatkowski;Marcel;chlopiec;4
p08272903041;Edel;Weronika;dziewczynka;4
p08300900558;Ellwart;Mikolaj;chlopiec;4
p08212601691;Falkowski;Oskar;chlopiec;4
p08322607912;Filarski;Jakub;chlopiec;4
p08291103932;Filipowicz;Wladyslaw;chlopiec;4
p08240206433;Filipow;Konrad;chlopiec;4
p08242003922;Filowiat;Maya;dziewczynka;4
p08253100889;Fira;Malgorzata;dziewczynka;4
p08280502120;Fornalska;Aleksandra;dziewczynka;4
p08301302267;Frania;Julia;dziewczynka;4
p08212702057;Frankiewicz;Szymon;chlopiec;4
p08241601862;Frankowska;Julia;dziewczynka;4
p08251004215;Freitag;Jakub;chlopiec;4
p08222007191;Fryczke;Artur;chlopiec;4
p08293005379;Fryze;Antoni;chlopiec;4
p08271700731;Furmaniak;Dawid;chlopiec;4
p08271907176;Furyk;Bartosz;chlopiec;4
p08241106206;Gabrahn;Milena;dziewczynka;4
p08221200410;Gabryel;Jacek;chlopiec;4
p08303000545;Gajda-Polak;Magdalena;dziewczynka;4
p08221305726;Galikowska;Klaudia;dziewczynka;4
p08300801170;Garbacewicz;Oliwier;chlopiec;4
p08260600970;Gardynik;Mateusz;chlopiec;4
p08282713553;Gawrysiak;Nikodem;chlopiec;4
p08261609473;Gerygk;Artur;chlopiec;4
p08313001653;Gebka;Filip;chlopiec;4
p08212410590;Giec;Jan;chlopiec;4
p08312304672;Giejsztowt;Wiktor;chlopiec;4
p08281406782;Giemza;Matylda;dziewczynka;4
p08261901551;Giemza;Olaf;chlopiec;4
p08252406542;Gierzynska;Maria;dziewczynka;4
p08281502693;Glac;Julian;chlopiec;4
p08310503745;Glejzer;Alicja;dziewczynka;4
p08212000759;Glowacki;Leonard;chlopiec;4
p08250404818;Glowacz;Wiktor;chlopiec;4
p08290110445;Gniezdzinska;Julia;dziewczynka;4
p08272205624;Godlewska;Kira;dziewczynka;4
p08271501141;Godlewska;Michalina;dziewczynka;4
p08232101964;Godlewska;Zofia;dziewczynka;4
p08322309968;Golanowska;Maja;dziewczynka;4
p08220408161;Goldschmidt;Matylda;dziewczynka;4
p08292503151;Golabek;Piotr;chlopiec;4
p08230204225;Golebiewska;Amelia;dziewczynka;4
p08261104428;Golunska;Lena;dziewczynka;4
p08290401123;Gondek;Blanka;dziewczynka;4
p08302903696;Gonera;Mateusz;chlopiec;4
p08320500194;Gorlikowski;Mateusz;chlopiec;4
p08240401746;Gosciniak;Natalia;dziewczynka;4
p08222206057;Gorski;Rafal;chlopiec;4
p08261909504;Grabowska;Inga;dziewczynka;4
p08253012993;Grecki;Tomasz;chlopiec;4
p08212108136;Grochola;Ignacy;chlopiec;4
p08271002772;Grochowski;Kacper;chlopiec;4
p08260900223;Grodzka;Amelia;dziewczynka;4
p08280104957;Gruca;Mateusz;chlopiec;4
p08270903470;Gruzlewski;Radoslaw;chlopiec;4
p08240703190;Gryber;Sebastian;chlopiec;4
p08250705605;Grzegory;Karina;dziewczynka;4
p08272205662;Grzelachowska;Dominika;dziewczynka;4
p08282107781;Grzemska;Hanna;dziewczynka;4
p08301702005;Grzeskiewicz;Iga;dziewczynka;4
p08252202698;Grzybowski;Patryk;chlopiec;4
p08312007872;Guzek;Marcin;chlopiec;4
p08322401899;Hapka;Mateusz;chlopiec;4
p08272005446;Heizig;Anna;dziewczynka;4
p08300705627;Helinska;Joanna;dziewczynka;4
p08240703251;Hetmanski;Mateusz;chlopiec;4
p08272702251;Hewelt;Jakub;chlopiec;4
p08320701212;Hinc;Dominik;chlopiec;4
p08282003599;Hinca;Wiktor;chlopiec;4
p08232602250;Horodecki;Mikolaj;chlopiec;4
p08300101881;Hrynkiewicz;Blanka;dziewczynka;4
p08281704644;Hulecka;Alicja;dziewczynka;4
p08251901796;Jablonski;Daniel;chlopiec;4
p08270207536;Jackiewicz;Dawid;chlopiec;4
p08241407772;Jackowski;Alan;chlopiec;4
p08291901004;Jaglowska;Zuzanna;dziewczynka;4
p08291904496;Jamrozy;Ignacy;chlopiec;4
p08310405443;Janeczek;Zofia;dziewczynka;4
p08282003537;Janiak;Marcel;chlopiec;4
p08312205041;Janiczek;Nikola;dziewczynka;4
p08272703627;Janiewicz;Oliwia;dziewczynka;4
p08260307389;Janiszewska;Amelia;dziewczynka;4
p08271501677;Jankowski;Antoni;chlopiec;4
p08231901893;Jankowski;Artur;chlopiec;4
p08270101434;Jankun;Ignacy;chlopiec;4
p08231304801;Janukowicz;Alicja;dziewczynka;4
p08251002657;Janus;Szymon;chlopiec;4
p08243008186;Janczak;Lidia;dziewczynka;4
p08290805415;Jarmuz;Franciszek;chlopiec;4
p08321504807;Jarosinska;Wiktoria;dziewczynka;4
p08301100216;Jarosz;Jakub;chlopiec;4
p08322201772;Jasiecki;Patryk;chlopiec;4
p08272005316;Jasinski;Szymon;chlopiec;4
p08310711054;Jaszczurowski;Krzysztof;chlopiec;4
p08321905509;Jereczek;Marta;dziewczynka;4
p08273105282;Jedrzejczak;Malwina;dziewczynka;4
p08220701103;Jedrzejczak;Nadia;dziewczynka;4
p08282505466;Jozefowicz;Paulina;dziewczynka;4
p08261406629;Jundzill;Martyna;dziewczynka;4
p08303000507;Jurczyk;Lucja;dziewczynka;4
p08300601220;Kaczmarczyk;Zuzanna;dziewczynka;4
p08281603592;Kaczorowski;Filip;chlopiec;4
p08250606999;Kaleta;Mikolaj;chlopiec;4
p08260312189;Kalkowska;Noemi;dziewczynka;4
p08262600718;Kapica;Robert;chlopiec;4
p08232302846;Kapinska;Helena;dziewczynka;4
p08222511308;Karczewska;Katarzyna;dziewczynka;4
p08303005298;Karewicz;Szymon;chlopiec;4
p08213105118;Kasinski;Adrian;chlopiec;4
p08252505715;Kasprowicz;Oliwier;chlopiec;4
p08221810910;Kasprzak;Szymon;chlopiec;4
p08300104310;Kasubowski;Szymon;chlopiec;4
p08322001464;Kazimierczyk;Milena;dziewczynka;4
p08312900663;Kazmierczak;Nadia;dziewczynka;4
p08211100924;Kempinska;Daria;dziewczynka;4
p08300104686;Kempka;Paulina;dziewczynka;4
p08261002351;Kedzierski;Piotr;chlopiec;4
p08300903674;Kielbus;Mateusz;chlopiec;4
p08311606225;Kielczynska;Kinga;dziewczynka;4
p08211811606;Kifner;Aleksandra;dziewczynka;4
p08241801132;Kisiela;Przemyslaw;chlopiec;4
p08270301988;Kisiela;Weronika;dziewczynka;4
p08281903982;Kizlo;Zofia;dziewczynka;4
p08273104830;Klawikowski;Maksymilian;chlopiec;4
p08263002045;Klechowicz;Dalia;dziewczynka;4
p08252202711;Kliz;Fabian;chlopiec;4
p08302502109;Kobusinska;Maja;dziewczynka;4
p08211602303;Kocur;Zuzanna;dziewczynka;4
p08260800271;Koldys;Michal;chlopiec;4
p08292202784;Kolpaczewska;Zofia;dziewczynka;4
p08252704138;Kolton;Piotr;chlopiec;4
p08281104963;Kopylec;Jasmina;dziewczynka;4
p08281413737;Korcz;Szymon;chlopiec;4
p08300705603;Kornicka;Oliwia;dziewczynka;4
p08321200048;Kowalczuk;Gorska;dziewczynka;4
p08252200719;Kowalczyk;Marek;chlopiec;4
p08242912835;Kowalczyk;Nataniel;chlopiec;4
p08251007508;Kowalewska;Katarzyna;dziewczynka;4
p08251603575;Kowalski;Krystian;chlopiec;4
p08232909883;Kozlowska;Maria;dziewczynka;4
p08222304175;Kozlowski;Filip;chlopiec;4
p08292100396;Kozlowski;Tristan;chlopiec;4
p08280703699;Krasinski;Michal;chlopiec;4
p08232200533;Krasnowski;Jan;chlopiec;4
p08321505372;Krasula;Fabian;chlopiec;4
p08212700468;Krasnicka;Maria;dziewczynka;4
p08231406008;Krawczyk;Karolina;dziewczynka;4
p08321607180;Kreska;Carmen;dziewczynka;4
p08262602796;Krogulec;Piotr;chlopiec;4
p08300903285;Krol;Adrianna ;dziewczynka;4
p08322103531;Krol;Kuba;chlopiec;4
p08242602671;Krol-Bartosiak;Bronislaw;chlopiec;4
p08231707543;Krugly;Karolina;dziewczynka;4
p08211201755;Kruk;Oskar;chlopiec;4
p08261303056;Krupa;Cezary;chlopiec;4
p08311300372;Kruszewski;Natan;chlopiec;4
p08241302718;Krzemien;Nico;chlopiec;4
p08261110861;Krzesinska;Monika;dziewczynka;4
p08251706025;Kuban;Emilia;dziewczynka;4
p08210903719;Kucharczyk;Kacper;chlopiec;4
p08310601368;Kucharska;Julia;dziewczynka;4
p08212702019;Kucharski;Marek;chlopiec;4
p08291402192;Kucharzewski;Nikodem;chlopiec;4
p08221305153;Kuczma;Jan;chlopiec;4
p08302000980;Kulesza;Oliwia;dziewczynka;4
p08292601026;Kuliga;Zofia;dziewczynka;4
p08260700090;Kulik;Juliusz;chlopiec;4
p08300310702;Kunowska;Anastazja;dziewczynka;4
p08272406186;Kurowska;Iga;dziewczynka;4
p08291900980;Kurowska;Magdalena;dziewczynka;4
p08310503783;Kurzawiak;Lena;dziewczynka;4
p08281403444;Kuszner;Hanna;dziewczynka;4
p08310702830;Kus;Szymon;chlopiec;4
p08261803983;Kuzniewska;Julia;dziewczynka;4
p08231802767;Kwiecinska;Klaudia;dziewczynka;4
p08290708541;Lange;Karolina;dziewczynka;4
p08211403256;Laskowski;Alan;chlopiec;4
p08270605655;Lejk;Jakub;chlopiec;4
p08211704883;Leman;Magdalena;dziewczynka;4
p08292302286;Leoniak;Dominika;dziewczynka;4
p08262103945;Lewandowska;Kinga;dziewczynka;4
p08290500662;Lewandowska;Nadia;dziewczynka;4
p08311907241;Lewandowska;Nadia;dziewczynka;4
p08250600566;Lewandowska;Nicole;dziewczynka;4
p08301402608;Lewicka;Anna;dziewczynka;4
p08261002009;Lewicka;Zuzanna;dziewczynka;4
p08272108071;Lewita;Filip;chlopiec;4
p08260201232;Lewoszewski;Wiktor;chlopiec;4
p08280904601;Licbarska;Oliwia;dziewczynka;4
p08272106130;Liedtke;Radoslaw;chlopiec;4
p08262101899;Ligeza;Dawid;chlopiec;4
p08220901275;Lipinski;Alex;chlopiec;4
p08250500644;Lipniewska;Hanna;dziewczynka;4
p08320500231;Liskiewicz;Sebastian;chlopiec;4
p08321912493;Litmanowicz;Gracjan;chlopiec;4
p08312903079;Loch;Michal;chlopiec;4
p08251710770;Lata;Maciej;chlopiec;4
p08310302610;Lazarski;Bartosz;chlopiec;4
p08250308013;Lecki;Antoni;chlopiec;4
p08321606950;Loboda;Adam;chlopiec;4
p08230105212;Lobodzinski;Borys;chlopiec;4
p08293009380;Lukasiewicz;Maja;dziewczynka;4
p08290605473;Lukaszewski;Bartosz;chlopiec;4
p08310900528;Machel;Anna;dziewczynka;4
p08310400752;Machol;Wojciech;chlopiec;4
p08211704906;Machola;Klaudia;dziewczynka;4
p08252605316;Mackiewicz;Dawid;chlopiec;4
p08260902492;Macczak;Mateusz;chlopiec;4
p08262502621;Macko;Zofia;dziewczynka;4
p08300701173;Magnuszewski;Jakub;chlopiec;4
p08281403505;Majtas;Julia;dziewczynka;4
p08212100558;Malesa;Kacper;chlopiec;4
p08251003849;Malinowska;Agata;dziewczynka;4
p08321306973;Mamet;Adam;chlopiec;4
p08292006005;Marchel;Nicola;dziewczynka;4
p08211103019;Marchewicz;Igor;chlopiec;4
p08312700911;Marczuk;Franciszek;chlopiec;4
p08312304429;Marczynska;Anna;dziewczynka;4
p08221409925;Marek;Kinga;dziewczynka;4
p08231501079;Marjanski;Michal;chlopiec;4
p08312803492;Marszalkowski;Karol;chlopiec;4
p08241801187;Marusik;Maja;dziewczynka;4
p08321501798;Matela;Michal;chlopiec;4
p08241001761;Matlak;Maja;dziewczynka;4
p08300713666;Matuskiewicz;Nina;dziewczynka;4
p08293002437;Madrzejewski;Oliwier;chlopiec;4
p08303004822;Meloch;Maria;dziewczynka;4
p08260302636;Mickiewicz;Piotr;chlopiec;4
p08310800415;Mielcarek;Bartosz;chlopiec;4
p08301904339;Mielewczyk;Patryk;chlopiec;4
p08301300999;Mikulski;Jeremi;chlopiec;4
p08212703485;Milerska;Julia;dziewczynka;4
p08290507713;Misiuk;Oliwier;chlopiec;4
p08282108997;Mizerek;Filip;chlopiec;4
p08271906885;Mlodzianowska;Alicja;dziewczynka;4
p08250807079;Mlodziejewski;Wojtek;chlopiec;4
p08243001486;Mlynarczyk;Amelia;dziewczynka;4
p08250506473;Morawski;Szymon;chlopiec;4
p08222807760;Mrozek;Maria;dziewczynka;4
p08312007797;Muczynski;Olaf;chlopiec;4
p08320500224;Mular;Adela;dziewczynka;4
p08300300228;Musial;Karolina;dziewczynka;4
p08311604438;Musial;Oliwer;chlopiec;4
p08272304378;Mystkowski;Konrad;chlopiec;4
p08302100079;Myslicki;Mikolaj;chlopiec;4
p08270600735;Narloch;Nikodem;chlopiec;4
p08292313198;Niekra;Marcel;chlopiec;4
p08252200788;Niewczas;Angelina;dziewczynka;4
p08260804084;Niewierowska;Jagoda;dziewczynka;4
p08213111483;Nowakowska;Aleksandra;dziewczynka;4
p08320801301;Obiedzinska;Laura;dziewczynka;4
p08241110012;Ochocinski;Hubert;chlopiec;4
p08272207572;Odziemkowski;Michal;chlopiec;4
p08261903966;Ogrodowczyk;Martyna;dziewczynka;4
p08282200644;Ogrodowska;Agata;dziewczynka;4
p08260211617;Okla;Tomasz;chlopiec;4
p08281205220;Okoniewska;Antonina;dziewczynka;4
p08310702687;Olitkowska;Maja;dziewczynka;4
p08211804163;Oliwniak;Oliwia;dziewczynka;4
p08240507848;Olszewska;Amelia;dziewczynka;4
p08253005917;Olszewski;Blazej;chlopiec;4
p08302900785;Olszowka;Wiktoria;dziewczynka;4
p08222903756;Orzechowski;Ksavier;chlopiec;4
p08271004675;Osadnik;Franciszek;chlopiec;4
p08322208175;Owczarek;Maciej;chlopiec;4
p08282008747;Pabich;Amelia;dziewczynka;4
p08300903650;Paluch;Kacper;chlopiec;4
p08270311721;Paluch;Roksana;dziewczynka;4
p08262001311;Panow;Marek;chlopiec;4
p08242501499;Papciak;Krzysztof;chlopiec;4
p08251402792;Pasieka;Szymon;chlopiec;4
p08292507452;Pasiut;Marek;chlopiec;4
p08291904519;Pawinski;Krzysztof;chlopiec;4
p08230700943;Pawlega;Zuzanna;dziewczynka;4
p08291900942;Pawlun;Marta;dziewczynka;4
p08210912056;Pawlowski;Pawel;chlopiec;4
p08281603578;Pellowski;Szymon;chlopiec;4
p08222007177;Pengiel;Igor;chlopiec;4
p08301600952;Penk;Krzysztof;chlopiec;4
p08310501576;Penkowski;Bartosz;chlopiec;4
p08301408901;Peplinska;Barbara;dziewczynka;4
p08242700812;Petrynski;Jakub;chlopiec;4
p08282405063;Pedrasik;Maria;dziewczynka;4
p08252500185;Piasecka;Julia;dziewczynka;4
p08272603392;Piasecki;Kacper;chlopiec;4
p08240807207;Pietkiewicz;Aleksandra;dziewczynka;4
p08292902936;Pinkowski;Dominik;chlopiec;4
p08311907289;Piotrowska;Maja;dziewczynka;4
p08270604517;Piotrowski;Piotr;chlopiec;4
p08250804502;Pisarek;Julia;dziewczynka;4
p08231306469;Piszczek;Klaudia;dziewczynka;4
p08232811713;Piwonski;Marcel;chlopiec;4
p08230600236;Piwowar;Oskar;chlopiec;4
p08251102241;Piwowar;Pola;dziewczynka;4
p08323009317;Plichta;Maksymilian;chlopiec;4
p08261901513;Podrazka;Michal;chlopiec;4
p08252507762;Polonska;Marianna;dziewczynka;4
p08241105090;Pontus;Krzysztof;chlopiec;4
p08300504592;Potucha;Franciszek;chlopiec;4
p08262206082;Poznanska;Maja;dziewczynka;4
p08320501089;Prazmo;Julia;dziewczynka;4
p08271509163;Procaj;Pola;dziewczynka;4
p08280707440;Prosniewska;Maria;dziewczynka;4
p08281704620;Przychodzen;Julia;dziewczynka;4
p08310201568;Przychodzka;Patrycja;dziewczynka;4
p08232304664;Pydyn;Nikola;dziewczynka;4
p08271103220;Pytel;Zuzanna;dziewczynka;4
p08292507414;Radomski;Lukasz;chlopiec;4
p08263011320;Radomyska;Oliwia;dziewczynka;4
p08300604643;Radziemska;Nina;dziewczynka;4
p08281309160;Radziwill;Maja;dziewczynka;4
p08240200932;Rakowski;Adrian;chlopiec;4
p08252609129;Reclaw;Malgorzata;dziewczynka;4
p08291605076;Rembiewski;Marcel;chlopiec;4
p08262903804;Rembowska;Agata;dziewczynka;4
p08211802512;Reczmin;Tymoteusz;chlopiec;4
p08290805958;Richert;Iwo;chlopiec;4
p08291605168;Ringwelska;Lena;dziewczynka;4
p08241106145;Rogacewicz;Natalia;dziewczynka;4
p08210701089;Rogowska;Dominika;dziewczynka;4
p08320300466;Rogulska;Matylda;dziewczynka;4
p08210201831;Romanowski;Milan;chlopiec;4
p08303111102;Roszak;Laura;dziewczynka;4
p08252705375;Rozek;Damian;chlopiec;4
p08252300556;Rozynski;Filip;chlopiec;4
p08301301006;Roza;Martyna;dziewczynka;4
p08241402609;Rozynska;Kalina;dziewczynka;4
p08210702837;Rusin;Patryk;chlopiec;4
p08320401297;Rutkowski;Jakub;chlopiec;4
p08281904051;Rutkowski;Tymon;chlopiec;4
p08220701431;Rybacki;Jakub;chlopiec;4
p08222200273;Rybaczewski;Pawel;chlopiec;4
p08220503507;Rychter;Maja;dziewczynka;4
p08281807682;Rydel;Natalia;dziewczynka;4
p08212301997;Ryngwelski;Tymoteusz;chlopiec;4
p08230401967;Rys;Andzelika;dziewczynka;4
p08230501681;Rys;Roksana;dziewczynka;4
p08251305958;Rzanny;Filip;chlopiec;4
p08242901473;Rzeszotowski;Antoni;chlopiec;4
p08252704152;Sadowski;Bartosz;chlopiec;4
p08212800403;Safianowska;Zofia;dziewczynka;4
p08270310690;Safranow;Jeremi;chlopiec;4
p08310503769;Sajdakowska;Marianna;dziewczynka;4
p08292705560;Sawicka;Zofia;dziewczynka;4
p08231802439;Sasiadek;Mateusz;chlopiec;4
p08232701867;Schmidtke;Kinga;dziewczynka;4
p08210401286;Schulz;Malgorzata;dziewczynka;4
p08270606427;Seredynska;Julia;dziewczynka;4
p08312405816;Siemianiuk;Michal;chlopiec;4
p08230110715;Siergiejew;Antoni;chlopiec;4
p08320208405;Sitkowska;Oliwia;dziewczynka;4
p08280807638;Siwczak;Igor;chlopiec;4
p08242802095;Skalinski;Adam;chlopiec;4
p08211506218;Skrodzki;Marcel;chlopiec;4
p08241001532;Slapik;Igor;chlopiec;4
p08221401866;Slowikowska;Hanna;dziewczynka;4
p08320700419;Snarski;Nikodem;chlopiec;4
p08241408827;Sobecka;Zuzanna;dziewczynka;4
p08290507751;Sobecki;Artur;chlopiec;4
p08211001355;Sobolewski;Stefan;chlopiec;4
p08312007834;Sobol;Artur;chlopiec;4
p08272304392;Sobun;Igor;chlopiec;4
p08282903295;Sokolowski;Maciej;chlopiec;4
p08240602505;Sosnowska;Amelia;dziewczynka;4
p08302808977;Sosnowski;Szymon;chlopiec;4
p08312106564;Stachowicz;Weronika;dziewczynka;4
p08251303468;Stankiewicz;Hanna;dziewczynka;4
p08260400464;Stankowska;Wiktoria;dziewczynka;4
p08240606196;Starczewski;Damian;chlopiec;4
p08311408681;Starega;Laura;dziewczynka;4
p08261002313;Stawski;Tomasz;chlopiec;4
p08302801284;Steinborn;Weronika;dziewczynka;4
p08320200551;Stolarczyk;Damian;chlopiec;4
p08311206692;Stoppel;Jakub;chlopiec;4
p08270300796;Strack;Mariusz;chlopiec;4
p08213002880;Stranz;Weronika;dziewczynka;4
p08260102809;Straus;Jagoda;dziewczynka;4
p08222002356;Stybor;Michal;chlopiec;4
p08230802317;Sulicki;Tadeusz;chlopiec;4
p08291605052;Sulley;Maciej;chlopiec;4
p08292402177;Szablewski;Amadeusz;chlopiec;4
p08250705506;Szalucha;Julia;dziewczynka;4
p08232712724;Szarmach;Julia;dziewczynka;4
p08321304438;Szczepanski;Jeremiasz;chlopiec;4
p08290700291;Szczepkowski;Igor;chlopiec;4
p08270812284;Szczucka;Lena;dziewczynka;4
p08290606115;Szczupakowska;Antoni;chlopiec;4
p08242302564;Szczutkowska;Lucja;dziewczynka;4
p08292404216;Szczypacki;Wojciech;chlopiec;4
p08211600684;Szloinska;Zuzanna;dziewczynka;4
p08232504330;Szubarczyk;Jakub;chlopiec;4
p08252703168;Szubarczyk;Kinga;dziewczynka;4
p08211408374;Szulc;Tymon;chlopiec;4
p08283002184;Szulfer;Wiktoria;dziewczynka;4
p08221407022;Szumala;Zofia;dziewczynka;4
p08273002237;Szwoch;Krystian;chlopiec;4
p08232301265;Szymajda;Karolina;dziewczynka;4
p08232608072;Szymanski;Emil;chlopiec;4
p08230900800;Szymborska;Anna;dziewczynka;4
p08261601840;Szymczyk;Roksana;dziewczynka;4
p08262203546;Szypowicz;Agata;dziewczynka;4
p08282400686;Szypszak;Aleksandra;dziewczynka;4
p08232001714;Scibek;Adam;chlopiec;4
p08252902666;Sliwinska;Dobroslawa;dziewczynka;4
p08242001104;Sliwinska;Julia;dziewczynka;4
p08281205282;Swirk;Paulina;dziewczynka;4
p08320801479;Tarkowski;Artur;chlopiec;4
p08241400331;Tartas;Bartosz;chlopiec;4
p08242103776;Tenerowicz;Szymon;chlopiec;4
p08270308381;Tomaszewska;Maja;dziewczynka;4
p08261507740;Tomaszkiewicz;Amelia;dziewczynka;4
p08300910438;Tomczak;Maksymilian;chlopiec;4
p08312007858;Tracewski;Franciszek;chlopiec;4
p08221204674;Trochim;Kornel;chlopiec;4
p08322902215;Trojanowski;Kacper;chlopiec;4
p08321304346;Trzebiatowska;Gabriela;dziewczynka;4
p08310203485;Turek;Karin;dziewczynka;4
p08250500798;Tusinski;Michal;chlopiec;4
p08320800331;Tygielski;Ignacy;chlopiec;4
p08272105344;Tylicka;Amelia;dziewczynka;4
p08231411754;Tyryllo;Natan;chlopiec;4
p08272905234;Tysiac;Krzysztof;chlopiec;4
p08241104709;Ujazdowska;Natalia;dziewczynka;4
p08250805039;Ukleja;Mikolaj;chlopiec;4
p08312405830;Ulanicki;Konrad;chlopiec;4
p08300610567;Umecka;Julia;dziewczynka;4
p08300100446;Usowicz;Julia;dziewczynka;4
p08300701234;Ustowski;Alex;chlopiec;4
p08271700762;Uszkiewicz;Martyna;dziewczynka;4
p08290108488;Uzarowska;Antonina;dziewczynka;4
p08251502454;Waclawski;Dominik;chlopiec;4
p08241302985;Walenciej;Julia;dziewczynka;4
p08322901047;Wamka;Wiktoria;dziewczynka;4
p08232003082;Wasilewska;Oliwia;dziewczynka;4
p08270302897;Wasilewski;Mateusz;chlopiec;4
p08272109058;Werbinski;Maciej;chlopiec;4
p08281209514;Weyer;Igor;chlopiec;4
p08311408667;Weglarz;Martyna;dziewczynka;4
p08243001509;Wiatrowicz;Magdalena;dziewczynka;4
p08301002846;Wichowicz;Julia;dziewczynka;4
p08300900947;Wieczerzak;Hanna;dziewczynka;4
p08322406016;Wierzejski;Kacper;chlopiec;4
p08292701702;Wilkowska;Alicja;dziewczynka;4
p08301103134;Wilski;Marcel;chlopiec;4
